,TUCASEID,TULINENO,TEAGE,TESEX
683,20140111131921,1,24,2
684,20140111131927,1,49,2
685,20140111131927,2,47,1
686,20140111131927,3,18,2
687,20140111131950,1,52,2
688,20140111131950,2,50,1
689,20140111131950,3,38,2
690,20140111131960,1,42,2
691,20140111131960,2,52,1
692,20140111131969,1,60,2
693,20140111131969,2,40,1
694,20140111132011,1,47,1
695,20140111132011,2,20,1
696,20140111132011,3,40,2
697,20140111132011,4,13,1
698,20140111132014,1,40,1
699,20140111132014,2,36,2
700,20140111132014,3,5,1
701,20140111132014,4,3,1
702,20140111132014,5,0,1
703,20140111132042,1,43,1
704,20140111132042,2,40,2
705,20140111132042,3,6,2
706,20140111132042,4,4,1
707,20140111132047,1,60,2
708,20140111132047,2,23,1
709,20140111132047,3,85,2
710,20140111132054,1,43,1
711,20140111132054,2,41,2
712,20140111132054,3,3,1
713,20140111132054,4,4,2
714,20140111132056,1,51,2
715,20140111132056,2,47,2
716,20140111132087,1,65,2
717,20140111132087,2,63,1
718,20140111132087,3,24,1
719,20140111132088,1,32,2
720,20140111132088,2,29,1
721,20140111132088,3,39,1
722,20140111132088,5,4,1
723,20140111132088,6,8,1
724,20140111132091,1,19,2
725,20140111132091,2,41,1
726,20140111132091,3,45,2
727,20140111132091,4,15,2
728,20140111132091,5,10,1
729,20140111132106,1,54,2
730,20140111132106,2,49,1
731,20140111132106,3,27,2
732,20140111132106,4,7,1
733,20140111132153,1,55,2
734,20140111132153,2,33,1
735,20140111132153,3,26,2
736,20140111132155,1,52,2
737,20140111132155,2,25,1
738,20140111132156,1,25,1
739,20140111132156,2,43,1
740,20140111132156,3,39,2
741,20140111132156,4,58,2
742,20140111132156,5,14,1
743,20140111132156,6,12,2
744,20140111132156,7,8,1
745,20140111132205,1,47,1
746,20140111132205,2,47,2
747,20140111132205,3,15,1
748,20140111132205,4,13,2
749,20140111132207,1,58,1
750,20140111132207,2,60,2
751,20140111132207,3,22,2
752,20140111132228,1,80,2
753,20140111132246,1,45,1
754,20140111132246,2,78,2
755,20140111132261,1,78,1
756,20140111132284,1,59,2
757,20140111132288,1,45,2
758,20140111132288,2,15,2
759,20140111132295,1,21,1
760,20140111132295,2,47,1
761,20140111132302,1,38,2
762,20140111132302,2,38,1
763,20140111132302,3,9,1
764,20140111132317,1,42,2
765,20140111132317,2,52,1
766,20140111132317,3,2,1
767,20140111132317,4,0,2
768,20140111132340,1,59,2
769,20140111132352,1,75,2
770,20140111132352,2,80,1
771,20140111132353,1,68,2
772,20140111132362,1,85,1
773,20140111132362,3,57,2
774,20140111132366,1,80,2
775,20140111132372,1,44,2
776,20140111132372,2,20,1
777,20140111132382,1,71,2
778,20140111132382,2,71,1
779,20140111132403,1,36,1
780,20140111132403,2,34,2
781,20140111132403,3,2,1
782,20140111132403,4,0,1
783,20140111132405,1,52,2
784,20140111132405,2,55,1
785,20140111132405,3,28,1
786,20140111132415,1,85,2
787,20140111132423,1,27,2
788,20140111132423,2,29,1
789,20140111132423,3,7,1
790,20140111132423,4,4,1
791,20140111132423,5,3,1
792,20140111132431,1,56,2
793,20140111132431,2,57,1
794,20140111132432,1,85,2
795,20140111132432,2,85,1
